id,affiliateid,sourceid,clientid,link,product,clicks,actions,conversions,leads,impressions,revenue,actioncost,networkcost,totalcost,costperclick,clickthroughrate,conversionrate,earningsperhundredclicks,returnofinvestment,costperaction,actiondate
302688,17,1,6,slickdeals.net/,,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,10:56.4
302704,4,1,6,www.viglink.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
302720,22,1,6,www.savings.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
302736,35,1,6,www.flexoffers.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
302752,24,1,6,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
302768,2,1,6,digidip.net,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
302784,1,1,6,www.hotdeals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
302800,539,1,6,poweredbyquilting.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
302816,12,1,16,skimlinks.com,,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,10:56.4
302832,18,1,16,www.ebates.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
302848,574,1,16,www.adgoal.net,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
302864,26,1,16,www.mypoints.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
306912,1116,2,26,http://www.homestratosphere.com,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
306928,1119,2,28,http://infiniteroleplay.net,,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,44:05.6
306944,1101,2,28,http://skimlinks.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
306960,6,2,28,http://yieldkit.com/,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
306976,1122,2,29,http://aptitude-media.com,,3,2,2,0,4,44,12,24,24,8,0,0.67,1466.67,0.83,12,44:05.6
306992,1124,2,29,http://www.coupondis.co/,,4,1,1,0,5,32,3.84,3.84,3.84,0.96,0,0.25,800,7.33,3.84,44:05.6
307008,1126,2,29,http://www.linkconnector.com,,210,0,0,0,210,0,0,0,0,0,0,0,0,0,0,44:05.6
307024,1129,2,29,http://givling.com,,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,44:05.6
